"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 15 13:57:58 CST 2021","Fri Jan 15 13:57:58 CST 2021","67","test_case","test_user","TestUser","","","test_user[inBody0-expData0]",""
"failed","Fri Jan 15 13:57:58 CST 2021","Fri Jan 15 13:57:58 CST 2021","33","test_case","test_user","TestUser","","","test_user[inBody1-expData1]",""
